ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
OABN,BIM,Bamyan,Bamyan,Afghanistan,,,"OABN/BIM - Bamyan, Bamyan(Afghanistan)"
OABT,BST,Bost,Bost,Afghanistan,,,"OABT/BST - Bost, Bost(Afghanistan)"
OAIX,BPM,Bagram Air Base,Charikar,Afghanistan,,,"OAIX/BPM - Bagram Air Base, Charikar(Afghanistan)"
OACC,CCN,Charkhcharan,Charkhcharan,Afghanistan,,,"OACC/CCN - Charkhcharan, Charkhcharan(Afghanistan)"
OAFZ,FBD,Faizabad,Faizabad,Afghanistan,,,"OAFZ/FBD - Faizabad, Faizabad(Afghanistan)"
OAFR,FAH,Farah,Farah,Afghanistan,,,"OAFR/FAH - Farah, Farah(Afghanistan)"
OAGZ,GRG,Gardez,Gardez,Afghanistan,,,"OAGZ/GRG - Gardez, Gardez(Afghanistan)"
OAHR,HEA,Herat,Herat,Afghanistan,,,"OAHR/HEA - Herat, Herat(Afghanistan)"
OAJL,JAA,Jalalabad,Jalalabad,Afghanistan,,,"OAJL/JAA - Jalalabad, Jalalabad(Afghanistan)"
OAKB,KBL,Kabul Intl,Kabul,Afghanistan,,,"OAKB/KBL - Kabul Intl, Kabul(Afghanistan)"
OAKN,KDH,Kandahar Intl,Kandahar,Afghanistan,,,"OAKN/KDH - Kandahar Intl, Kandahar(Afghanistan)"
OAKS,KHT,Khost,Khost,Afghanistan,,,"OAKS/KHT - Khost, Khost(Afghanistan)"
OAHN,KWH,Khwahan,Khwahan,Afghanistan,,,"OAHN/KWH - Khwahan, Khwahan(Afghanistan)"
OAUZ,UND,Kunduz,Kunduz,Afghanistan,,,"OAUZ/UND - Kunduz, Kunduz(Afghanistan)"
OAMN,MMZ,Maimama,Maimama,Afghanistan,,,"OAMN/MMZ - Maimama, Maimama(Afghanistan)"
OAMS,MZR,Mazar-I-Sharif,Mazar-I-Sharif,Afghanistan,,,"OAMS/MZR - Mazar-I-Sharif, Mazar-I-Sharif(Afghanistan)"
OASN,SGA,Sheghnan,Sheghnan,Afghanistan,,,"OASN/SGA - Sheghnan, Sheghnan(Afghanistan)"
OAZJ,ZAJ,Zaranj,Zaranj,Afghanistan,,,"OAZJ/ZAJ - Zaranj, Zaranj(Afghanistan)"
LATI,TIA,Tirana Intl Airport Mother Teresa,Tirane (Tirana),Albania,,,"LATI/TIA - Tirana Intl Airport Mother Teresa, Tirane (Tirana)(Albania)"
DAUA,AZR,Adrar - Touat-Ch Sidi Mohamed Belkebir Airport,Adrar,Algeria,,,"DAUA/AZR - Adrar - Touat-Ch Sidi Mohamed Belkebir Airport, Adrar(Algeria)"
DAAG,ALG,Algiers - Houari Boumediene Airport,Algiers,Algeria,,,"DAAG/ALG - Algiers - Houari Boumediene Airport, Algiers(Algeria)"
DABB,AAE,Annaba - El Mellah Airport,Annaba,Algeria,,,"DABB/AAE - Annaba - El Mellah Airport, Annaba(Algeria)"
DAAE,BJA,Bejaia - Soummam-Abane Ramdane Airport,Bejaia,Algeria,,,"DAAE/BJA - Bejaia - Soummam-Abane Ramdane Airport, Bejaia(Algeria)"
DATM,BMW,Bordj Mokhtar Airport,Bordj Mokhtar,Algeria,,,"DATM/BMW - Bordj Mokhtar Airport, Bordj Mokhtar(Algeria)"
DAAD,BUJ,Bou Saada Airport,Bou Saada,Algeria,,,"DAAD/BUJ - Bou Saada Airport, Bou Saada(Algeria)"
DABC,CZL,Constantine - Mohamed Boudiaf Airport,Constantine,Algeria,,,"DABC/CZL - Constantine - Mohamed Boudiaf Airport, Constantine(Algeria)"
DAAJ,DJG,Djanet - Tiska Airport,Djanet,Algeria,,,"DAAJ/DJG - Djanet - Tiska Airport, Djanet(Algeria)"
DAUE,ELG,El Golea Airport,El Golea,Algeria,,,"DAUE/ELG - El Golea Airport, El Golea(Algeria)"
DAUO,ELU,El Oued - Guemar Airport,El Oued,Algeria,,,"DAUO/ELU - El Oued - Guemar Airport, El Oued(Algeria)"
DAUG,GHA,Ghardaia - Noumerat-Moufdi Zakaria Airport,Ghardaia,Algeria,,,"DAUG/GHA - Ghardaia - Noumerat-Moufdi Zakaria Airport, Ghardaia(Algeria)"
DAUH,HME,Hassi Messaoud - Oued Irara - Krim Belkacem Airport,Hassi Messaoud,Algeria,,,"DAUH/HME - Hassi Messaoud - Oued Irara - Krim Belkacem Airport, Hassi Messaoud(Algeria)"
